45161
Date/Time (UTC),Wind_Speed (kts),Wind_Gust (kts),Wind_from_Direction (degrees_true),Water_Temperature_at_Surface (fahrenheit),Significant_Wave_Height (ft),Significant_Wave_Period (s),significant_wave_from_direction (degrees_true),Air_Temperature (fahrenheit),Air_Pressure (mb),Thermistor_String_at_1m (fahrenheit),Thermistor_String_at_22m (fahrenheit)
10/16/2020 02:40:00,18.130584448,23.964437056,-9999.0,58.9478,4.2322836,4.07,312.86,49.6058,1017.703,58.946,-17966.2
10/16/2020 03:00:00,17.529937888,21.945176064,-9999.0,58.9496,4.0682416,3.89,315.58,49.5482,1017.94,58.946,-17966.2
10/16/2020 03:20:00,18.794600192,22.897657664,-9999.0,58.892,4.10105,3.82,317.46,49.631,1018.082,58.892,-17966.2
10/16/2020 03:40:00,17.89693488,23.81204,-9999.0,58.856,4.2322836,4.1,313.39,49.2494,1018.315,58.856,-17966.2
10/16/2020 04:00:00,17.853004096,23.697742208,-9999.0,58.865,4.3307088,4.08,313.6,49.055,1018.418,58.874,-17966.2
10/16/2020 04:20:00,18.208338048,24.00253632,-9999.0,58.8542,4.1994752,4.09,317.41,49.1144,1018.433,58.856,-17966.2
10/16/2020 04:40:00,18.01064952,21.640381952,-9999.0,58.9226,4.2979004,4.1,318.5,49.0496,1018.46,58.928,-17966.2
10/16/2020 05:00:00,16.584065344,22.09757312,-9999.0,58.9118,4.265092,4.09,317.66,49.1234,1018.507,58.91,-17966.2
10/16/2020 05:20:00,15.881367184,19.697319488,-9999.0,58.8992,4.5603676,4.25,319.73,49.0802,1018.587,58.892,-17966.2
10/16/2020 05:40:00,15.638581568,20.0021136,-9999.0,58.865,3.8713912,3.92,314.49,49.1378,1018.518,58.874,-17966.2
10/16/2020 06:00:00,14.117138,18.0971504,-9999.0,58.8236,3.6417324,3.89,306.64,49.1198,1018.575,58.82,-17966.2
10/16/2020 06:20:00,16.021712432,19.392525376,-9999.0,58.8164,3.6417324,3.86,305.44,49.2836,1018.647,58.82,-17966.2
10/16/2020 06:40:00,16.62663544,20.76409888,-9999.0,58.7606,3.444882,3.79,305.42,49.4186,1018.767,58.766,-17966.2
10/16/2020 07:00:00,15.148539504,17.754257024,-9999.0,58.7282,3.2152232,3.66,308.15,49.2008,1018.918,58.73,-17966.2
10/16/2020 07:20:00,15.305601776,18.516242304,-9999.0,58.7354,3.2152232,3.71,308.12,49.2296,1018.96,58.73,-17966.2
10/16/2020 07:40:00,14.644113024,19.735418752,-9999.0,58.7714,3.28084,3.58,308.06,49.3232,1018.933,58.766,-17966.2
10/16/2020 08:00:00,12.905542528,18.28764672,-9999.0,58.8218,3.0839896,3.49,304.6,49.217,1018.875,58.82,-17966.2
10/16/2020 08:20:00,14.221910976,20.040212864,-9999.0,58.8704,2.788714,3.38,302.25,49.5914,1018.85,58.874,-17966.2
10/16/2020 08:40:00,14.34845496,19.049632,-9999.0,58.8812,2.7559056,3.36,289.48,49.7516,1018.908,58.874,-17966.2
10/16/2020 09:00:00,15.79564384,20.916495936,-9999.0,58.9244,2.6902888,3.44,293.46,50.0522,1018.9,58.928,-17966.2
10/16/2020 09:20:00,16.903243872,22.173771648,-9999.0,58.9784,2.7230972,3.37,291.45,49.9442,1018.798,58.982,-17966.2
10/16/2020 09:40:00,18.322830224,23.316749568,-9999.0,59.0,2.8871392,3.45,294.18,50.1674,1018.783,59.0,-17966.2
